    exampleTrace1    exampleTrace1    exampleTrace2    exampleTrace2    exampleTrace3    exampleTrace3
          733.355          -28.151              NaN              NaN              NaN              NaN
          578.055           14.591              NaN              NaN              NaN              NaN
          639.355          -35.991              NaN              NaN              NaN              NaN
          646.755          -47.327              NaN              NaN              NaN              NaN
          653.355           16.749              NaN              NaN              NaN              NaN
          713.355          -17.951              NaN              NaN              NaN              NaN
          732.055          -34.569              NaN              NaN              NaN              NaN
          915.755           -6.687              NaN              NaN              NaN              NaN
          871.055          -11.429              NaN              NaN              NaN              NaN
         1031.354           12.829              NaN              NaN              NaN              NaN
         1021.355           -5.771              NaN              NaN              NaN              NaN
         1271.354          -13.471              NaN              NaN              NaN              NaN
          983.755           58.193              NaN              NaN              NaN              NaN
          999.755          -29.747              NaN              NaN              NaN              NaN
         1127.054            6.731              NaN              NaN              NaN              NaN
         1166.054          -51.329              NaN              NaN              NaN              NaN
          967.355          -12.511              NaN              NaN              NaN              NaN
          731.755          -83.227              NaN              NaN              NaN              NaN
          624.755          -42.947              NaN              NaN              NaN              NaN
          588.055           25.191              NaN              NaN              NaN              NaN
          581.355          -91.871              NaN              NaN              NaN              NaN
          842.355          -32.011              NaN              NaN              NaN              NaN
          932.055          -39.969              NaN              NaN              NaN              NaN
          927.355           35.389              NaN              NaN              NaN              NaN
